video_1,video_2,video_3,video_4,video_5
0.31984345957039806,0.515410495366422,0.9910474096004922,0.5544449471643899,0.5802699469022166
0.5547788763522847,0.7698363373321353,0.9065607309334465,0.6847870014513655,0.7842119311968112
0.27890124642950204,0.3916371236403754,0.6445695258192492,0.13717063594438347,0.8366428404477304
0.6382342140717867,0.7973443271161043,0.9255288613127324,0.5684352931798475,0.4979656426849487
0.8124293493895463,0.2234902231470875,0.6602505499038496,0.2590618594993667,0.5676870430598068
0.453763217262615,0.6572696213292494,0.46838082668403686,0.10219385663123695,0.4819536121222845
0.31794490351378313,0.7496757775299797,0.7288788105854035,0.17956407064945773,0.6948665444779583
0.4800174970490891,0.5816380468642756,0.949448404472721,0.27950753816402846,0.32133380342795154
0.7501767750154389,0.17652840251760604,0.8707229797776441,0.6294126245149875,0.8245969202545411
0.6140413718557169,0.32857894768691864,0.6411563010086451,0.33488667183720167,0.6021523923752015
0.2708002493293222,0.15996606922410414,0.91291977050239,0.4300121438205403,0.44902158220370403
0.5760310080289233,0.5212236846410605,0.6785094968763912,0.023264125690923974,0.3205097302892403
0.5276597670189151,0.7987041664112519,0.8107448361507813,0.04480469820072541,0.608408512217565
0.42897857921481297,0.36232822926468133,0.5998811012570651,0.6568328437692315,0.6223972225200449
0.2771124172373263,0.21406152976838294,0.5168284040567473,0.5868224689872753,0.6823848059904786
0.8867783549341923,0.2880481362669176,0.5880822422720061,0.3427484554758247,0.588967399911275
0.32323032392527895,0.4995613784471322,0.9250981788815907,0.14027878112806078,0.58363753042372
0.3349200235535218,0.49827325078398876,0.9938625908717809,0.028122934812331888,0.46727121589579945
0.3019078844715651,0.2608745830554143,0.5583500982678351,0.6827441963118159,0.40672062061541725
0.5991351270892566,0.6254933183764775,0.4992180477177514,0.003970601516328165,0.4380518214970898
0.5105687021378902,0.16160860404535232,0.4426496374147631,0.16635344973019958,0.5061162491158989
0.37469002741858914,0.5361281979348156,0.8522917337433161,0.47873208103294806,0.7253402628026757
0.5005963681150697,0.3979892642652674,0.7168001532771879,0.6565287793470497,0.3650399442580749
0.6714652957432026,0.18902251389027275,0.7336601205623725,0.08194151640578745,0.6540259963055585
0.3971903720490411,0.5440693264669579,0.42712383186578423,0.5417236992781171,0.32087869917612244
